match_id,team,possession,goals,total_attempts,on_target_attempts,attempts_inside_area,final_third_receptions,attempted_line_breaks,completed_line_breaks,passes_completed,crosses,forced_turnovers,defensive_pressures,red_cards,efficiency,build_up_score,max_goals,win,match_result
45,PORTUGAL,55,1,12,4,5,12,178,123,541,22,50,233,0,0.25,313,2,0,L
46,SWITZERLAND,41,3,14,7,10,10,157,95,325,13,82,253,0,0.42857142857142855,262,3,1,W
47,BRAZIL,56,0,19,6,14,9,181,145,491,28,54,226,0,0.0,335,1,0,L
48,UNITED STATES,54,1,18,7,11,17,187,126,487,27,77,256,0,0.14285714285714285,330,3,0,L
49,AUSTRALIA,35,1,5,2,3,8,146,92,381,15,73,453,0,0.5,246,2,0,L
50,POLAND,42,1,11,3,8,11,156,97,391,18,64,297,0,0.3333333333333333,264,3,0,L
51,SENEGAL,35,0,10,2,4,7,159,86,320,13,74,339,0,0.0,252,3,0,L
52,CROATIA,51,1,16,4,9,14,232,132,624,35,100,308,0,0.25,378,1,1,D
53,KOREA REPUBLIC,44,1,10,6,6,15,188,137,486,14,81,329,0,0.16666666666666666,340,4,0,L
54,SPAIN,68,0,13,1,9,27,219,158,967,27,66,217,0,0.0,404,0,1,D
55,SWITZERLAND,48,1,10,1,5,8,167,107,436,15,54,240,0,1.0,282,6,0,L
56,BRAZIL,45,1,20,11,12,11,185,121,625,25,77,423,0,0.09090909090909091,317,1,1,D
57,ARGENTINA,44,2,15,6,5,7,203,122,511,16,79,323,0,0.3333333333333333,332,2,1,D
58,PORTUGAL,65,0,11,3,7,19,167,118,592,33,44,165,0,0.0,304,1,0,L
59,FRANCE,36,2,9,5,6,7,136,87,310,13,54,308,0,0.4,230,2,1,W
60,CROATIA,54,0,12,3,6,3,182,129,551,20,63,260,0,0.0,314,3,0,L
61,MOROCCO,55,0,13,1,8,15,141,95,518,22,47,218,0,0.0,251,2,0,L
62,MOROCCO,45,1,7,2,5,10,150,97,428,20,72,277,0,0.5,257,2,0,L
63,FRANCE,40,3,10,5,7,10,163,99,419,24,104,409,0,0.6,272,3,1,D
